interaction_name ligand_type interaction_type lig_contributor lig_contributor_group lig_contributor_coeff target_subunit target_subunit_group target_subunit_coeff
166 NE_ADRB1 Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
167 NE_ADRB2 Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
168 NE_ADRB3 Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
169 NE_SLC6A2 Neurotransmitter ligand uptake TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
170 NE_COMT Neurotransmitter ligand degradation TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
171 CO_GUCY1B1 Gas gas-effector HMOX1-HMOX2 1-1 1  1 1
172 CO_GUCY1B2 Gas gas-effector HMOX1-HMOX2 1-1 1  1 1
173 CO_GUCY1A1 Gas gas-effector HMOX1-HMOX2 1-1 1  1 1
174 CO_GUCY1A2 Gas gas-effector HMOX1-HMOX2 1-1 1  1 1
175 NO_GUCY1B1 Gas gas-effector NOS1-NOS2-NOS3 1-1-1 1  1 1
176 NO_GUCY1B2 Gas gas-effector NOS1-NOS2-NOS3 1-1-1 1  1 1
177 NO_GUCY1A1 Gas gas-effector NOS1-NOS2-NOS3 1-1-1 1  1 1
178 NO_GUCY1A2 Gas gas-effector NOS1-NOS2-NOS3 1-1-1 1  1 1
179 NRXN2_NLGN1 Synaptic adhesion molecule ligand-receptor NRXN2 1 1  1 1
180 NRXN3_NLGN1 Synaptic adhesion molecule ligand-receptor NRXN3 1 1  1 1
181 NRXN1_NLGN2 Synaptic adhesion molecule ligand-receptor NRXN1 1 1  1 1
182 NRXN3_NLGN2 Synaptic adhesion molecule ligand-receptor NRXN3 1 1  1 1
183 NRXN1_NLGN3 Synaptic adhesion molecule ligand-receptor NRXN1 1 1  1 1
184 NRXN2_NLGN3 Synaptic adhesion molecule ligand-receptor NRXN2 1 1  1 1
185 NRXN1_NLGN4X Synaptic adhesion molecule ligand-receptor NRXN1 1 1  1 1
186 NRXN2_NLGN4X Synaptic adhesion molecule ligand-receptor NRXN2 1 1  1 1
187 NRXN3_NLGN4X Synaptic adhesion molecule ligand-receptor NRXN3 1 1  1 1
188 NRXN1_NLGN4Y Synaptic adhesion molecule ligand-receptor NRXN1 1 1  1 1
189 NRXN2_NLGN4Y Synaptic adhesion molecule ligand-receptor NRXN2 1 1  1 1
190 NRXN3_NLGN4Y Synaptic adhesion molecule ligand-receptor NRXN3 1 1  1 1
