lr_pair	ligand_gene_symbol	receptor_gene_symbol	ligand_gene_id	receptor_gene_id	ligand_ensembl_protein_id	receptor_ensembl_protein_id	ligand_ensembl_gene_id	receptor_ensembl_gene_id	evidence
LHB_PTH1R	LHB	PTH1R	3972	5745	ENSP00000221421	ENSP00000321999	NA	ENSG00000160801	32196115
LHB_ADCYAP1R1	LHB	ADCYAP1R1	3972	117	ENSP00000221421	ENSP00000483721	NA	ENSG00000078549	32196115
LHB_RAMP2	LHB	RAMP2	3972	10266	ENSP00000221421	ENSP00000253796	NA	ENSG00000131477	32196115
LHB_VIPR1	LHB	VIPR1	3972	7433	ENSP00000221421	ENSP00000327246	NA	ENSG00000114812	32196115
LHB_RAMP3	LHB	RAMP3	3972	10268	ENSP00000221421	ENSP00000242249	NA	ENSG00000122679	32196115
LHB_GPR20	LHB	GPR20	3972	2843	ENSP00000221421	ENSP00000366970	NA	ENSG00000204882	32196115
LHB_ADRB2	LHB	ADRB2	3972	154	ENSP00000221421	ENSP00000305372	NA	ENSG00000169252	32196115
LHB_ADRB3	LHB	ADRB3	3972	155	ENSP00000221421	ENSP00000343782	NA	ENSG00000188778	32196115
LHB_TSHR	LHB	TSHR	3972	7253	ENSP00000221421	ENSP00000441235	NA	ENSG00000165409	32196115
LHB_LHCGR	LHB	LHCGR	3972	3973	ENSP00000221421	ENSP00000294954	NA	ENSG00000138039	1922095
LHB_GPR84	LHB	GPR84	3972	53831	ENSP00000221421	ENSP00000450310	NA	ENSG00000139572	32196115
AMH_ACVR1	AMH	ACVR1	268	90	ENSP00000221496	ENSP00000263640	ENSG00000104899	ENSG00000115170	14656470
AMH_EGFR	AMH	EGFR	268	1956	ENSP00000221496	ENSP00000275493	ENSG00000104899	ENSG00000146648	8596488
AMH_AMHR2	AMH	AMHR2	268	269	ENSP00000221496	ENSP00000257863	ENSG00000104899	ENSG00000135409	7997230
RETN_GPR25	RETN	GPR25	56729	2848	ENSP00000221515	ENSP00000301917	ENSG00000104918	ENSG00000170128	32103204
EBI3_IL27RA	EBI3	IL27RA	10148	9466	ENSP00000221847	ENSP00000263379	ENSG00000105246	ENSG00000104998	12121660
EBI3_IL6ST	EBI3	IL6ST	10148	3572	ENSP00000221847	ENSP00000370698	ENSG00000105246	ENSG00000134352	22306691
TGFB1_ENG	TGFB1	ENG	7040	2022	ENSP00000221930	ENSP00000362299	ENSG00000105329	ENSG00000106991	12015308
TGFB1_EGFR	TGFB1	EGFR	7040	1956	ENSP00000221930	ENSP00000275493	ENSG00000105329	ENSG00000146648	32103204
TGFB1_SMAD3	TGFB1	SMAD3	7040	4088	ENSP00000221930	ENSP00000332973	ENSG00000105329	ENSG00000166949	32196115
TGFB1_TGFBR2	TGFB1	TGFBR2	7040	7048	ENSP00000221930	ENSP00000351905	ENSG00000105329	ENSG00000163513	10716993
TGFB1_ITGB3	TGFB1	ITGB3	7040	3690	ENSP00000221930	ENSP00000452786	ENSG00000105329	ENSG00000259207	32196115
TGFB1_TGFBR1	TGFB1	TGFBR1	7040	7046	ENSP00000221930	ENSP00000364133	ENSG00000105329	ENSG00000106799	12809600
TGFB1_ACVRL1	TGFB1	ACVRL1	7040	94	ENSP00000221930	ENSP00000373574	ENSG00000105329	ENSG00000139567	10716993
TGFB1_ITGB6	TGFB1	ITGB6	7040	3694	ENSP00000221930	ENSP00000283249	ENSG00000105329	ENSG00000115221	10025398
TGFB1_ITGAV	TGFB1	ITGAV	7040	3685	ENSP00000221930	ENSP00000261023	ENSG00000105329	ENSG00000138448	11970960
TGFB1_ITGB1	TGFB1	ITGB1	7040	3688	ENSP00000221930	ENSP00000379350	ENSG00000105329	ENSG00000150093	12415008
TGFB1_CAV1	TGFB1	CAV1	7040	857	ENSP00000221930	ENSP00000339191	ENSG00000105329	ENSG00000105974	32196115
TGFB1_SDC2	TGFB1	SDC2	7040	6383	ENSP00000221930	ENSP00000307046	ENSG00000105329	ENSG00000169439	14976204
TGFB1_ITGB8	TGFB1	ITGB8	7040	3696	ENSP00000221930	ENSP00000222573	ENSG00000105329	ENSG00000105855	11970960
TGFB1_CXCR4	TGFB1	CXCR4	7040	7852	ENSP00000221930	ENSP00000386884	ENSG00000105329	ENSG00000121966	32196115
TGFB1_ITGB5	TGFB1	ITGB5	7040	3693	ENSP00000221930	ENSP00000296181	ENSG00000105329	ENSG00000082781	32196115
ICAM5_ITGAL	ICAM5	ITGAL	7087	3683	ENSP00000221980	ENSP00000349252	ENSG00000105376	ENSG00000005844	10741396
ICAM5_ITGB2	ICAM5	ITGB2	7087	3689	ENSP00000221980	ENSP00000380948	ENSG00000105376	ENSG00000160255	10741396
CEACAM5_CD1D	CEACAM5	CD1D	1048	912	ENSP00000221992	ENSP00000357153	ENSG00000105388	ENSG00000158473	24104458
COMP_ITGB1	COMP	ITGB1	1311	3688	ENSP00000222271	ENSP00000379350	ENSG00000105664	ENSG00000150093	32196115
COMP_ITGB3	COMP	ITGB3	1311	3690	ENSP00000222271	ENSP00000452786	ENSG00000105664	ENSG00000259207	32196115
COMP_CD36	COMP	CD36	1311	948	ENSP00000222271	ENSP00000399421	ENSG00000105664	ENSG00000135218	30231922
HGF_CD44	HGF	CD44	3082	960	ENSP00000222390	ENSP00000398632	ENSG00000019991	ENSG00000026508	10037743
HGF_SDC1	HGF	SDC1	3082	6382	ENSP00000222390	ENSP00000370542	ENSG00000019991	ENSG00000115884	11830493
HGF_ITGB1	HGF	ITGB1	3082	3688	ENSP00000222390	ENSP00000379350	ENSG00000019991	ENSG00000150093	32196115
HGF_MET	HGF	MET	3082	4233	ENSP00000222390	ENSP00000317272	ENSG00000019991	ENSG00000105976	1846706
HGF_SDC2	HGF	SDC2	3082	6383	ENSP00000222390	ENSP00000307046	ENSG00000019991	ENSG00000169439	8157651
HGF_NRP1	HGF	NRP1	3082	8829	ENSP00000222390	ENSP00000265371	ENSG00000019991	ENSG00000099250	18065694
HGF_ST14	HGF	ST14	3082	6768	ENSP00000222390	ENSP00000278742	ENSG00000019991	ENSG00000149418	12372819,17255532
LAMB1_ITGA7	LAMB1	ITGA7	3912	3679	ENSP00000222399	ENSP00000452120	ENSG00000091136	ENSG00000135424	32196115
LAMB1_ITGAV	LAMB1	ITGAV	3912	3685	ENSP00000222399	ENSP00000261023	ENSG00000091136	ENSG00000138448	32196115
LAMB1_ITGB1	LAMB1	ITGB1	3912	3688	ENSP00000222399	ENSP00000379350	ENSG00000091136	ENSG00000150093	10842354
LAMB1_ITGA6	LAMB1	ITGA6	3912	3655	ENSP00000222399	ENSP00000386896	ENSG00000091136	ENSG00000091409	10842354
LAMB1_ITGA1	LAMB1	ITGA1	3912	3672	ENSP00000222399	ENSP00000282588	ENSG00000091136	ENSG00000213949	32196115
LAMB1_ITGA2	LAMB1	ITGA2	3912	3673	ENSP00000222399	ENSP00000296585	ENSG00000091136	ENSG00000164171	32196115
WNT16_FZD6	WNT16	FZD6	51384	8323	ENSP00000222462	ENSP00000351605	ENSG00000002745	ENSG00000164930	32196115
NAMPT_ADORA2A	NAMPT	ADORA2A	10135	135	ENSP00000222553	ENSP00000336630	ENSG00000105835	ENSG00000128271	32103204
PON2_HTR2A	PON2	HTR2A	5445	3356	ENSP00000222572	ENSP00000437737	ENSG00000105854	ENSG00000102468	26198319,32196115
NPVF_NPFFR1	NPVF	NPFFR1	64111	64106	ENSP00000222674	ENSP00000277942	ENSG00000105954	ENSG00000148734	11024015
NPVF_NPFFR2	NPVF	NPFFR2	64111	10886	ENSP00000222674	ENSP00000307822	ENSG00000105954	ENSG00000056291	12242085
PDAP1_PDGFRB	PDAP1	PDGFRB	11333	5159	ENSP00000222968	ENSP00000261799	ENSG00000106244	ENSG00000113721	26198319,32196115
SERPINE1_LRP2	SERPINE1	LRP2	5054	4036	ENSP00000223095	ENSP00000263816	ENSG00000106366	NA	7673355
